number	settlement_type	Russian_name	Selsoviet	raion	collection_date	native_speaker	coordinate	lang	dial	comment
72.	д.	Сорокино	Живайкинского-с/с	Барышского р-на., Ульяновская обл.	2002	NA	53°39′00″, 47°07′00″	x		
74.	с.	Сосновка	Белогорского-с/с	Тереньгульского р-на., Ульяновская обл.	2002	NA	53°36′33″, 48°09′29″	x		
73.	д.	Сосновка	Дубровского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°05′35″, 46°57′32″	x		
75.	с.	Старая Бекшанка	Новобекшанского-с/с	Барышского р-на., Ульяновская обл.	2002	NA	53°28′00″, 47°07′00″	x		
46.	с.	Старая Березовка	Староберезовского-с/с	Сергачского р-на., Нижегородская обл.	2002	NA	55°29′40″, 45°43′43″	E		
76.	с.	Старая Бесовка	Старобесовского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°12′00″, 49°56′00″	x		
110.	с.	Старая Каштановка	Корсаевского-с/с	Белинского р-на., Пензенская обл.	2002	NA	52°59′33″, 43°16′00″	M		
77.	с.	Старая Куликовка	Новомалыклинского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°12′00″, 49°56′24″	x		
78.	с.	Старая Малыкла	Нижнеякушкннского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°12′00″, 49°56′24″	x		
296.	д.	Старая Потьма	Зайцевского-с/с	Краснослободского р-на., Мордовия.	2002	NA	54°26′00″, 44°27′00″	M		
299.	с.	Старая Самаевка	Старосамаевского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°13′00″, 43°41′00″	M		
112.	с.	Старая Яксарка	Старояксарского-с/с	Шемышейского р-на., Пензенская обл.	2002	NA	53°01′26″, 45°25′23″	M		
113.	с.	Старое Демкино	Стародемкинского-с/с	Шемышейского р-на., Пензенская обл.	2002	NA	52°55′38″, 45°10′03″	x		
308.	с.	Старое Мамангино	Большеазясьского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°11′27″, 43°39′04″	M		
79.	с.	Старое Матюшкино	Староматюшкинского-с/с	Чердаклинского р-на., Ульяновская обл.	2002	NA	54°20′00″, 48°50′00″	x		
