number	settlement_type	Russian_name	Selsoviet	raion	collection_date	native_speaker	coordinate	lang	dial	comment
13.	с.	Аржадеево	Спасского-с/с	Большеигнатовского р-на., Мордовия.	2002	NA	55°07′00″, 45°40′00″	E		
14.	д.	Армеевка	Староковыляйского-с/с	Темннковского р-на., Мордовия.	2002	NA	54°38′00″, 43°30′00″	x		
6.	с.	Армиёво	Армиевского-с/с	Шемышейского р-на., Пензенская обл.	2002	NA	52°51′56″, 45°33′43″	E		
7.	с.	Аряш	Кулясовского-с/с	Камешкирского р-на., Пензенская обл.	2002	NA	52°51′00″, 46°05′00″	x		
3.	с.	Атингеево	Шандровского-с/с	Лукояновского р-на., Нижегородская обл.	2002	NA	55°2′17″, 44°14′11″	E		
4.	с.	Атрать	Атратского-с/с	Алатырского р-на., Чувашия.	2002	NA	55°00′32″, 46°40′17″	E		
15.	с.	Атюрьево	Атюрьевского-с/с	Атюрьевского р-на., Мордовия.	2002	NA	54°19′05″, 43°20′35″	M		
16.	с.	Атяшево	Андреевского-с/с	Атяшевского р-на., Мордовия.	2002	NA	54°39′00″, 45°59′00″	E		
17.	рп.	Атяшево	Атяшевского-с/с	Атяшевского р-на., Мордовия.	2002	NA	54°35′23″, 46°06′04″	E		
18.	с.	Атяшево	Спасского-с/с	Большеигнатовского р-на., Мордовия.	2002	NA	55°09′49″, 45°40′04″	E		
6.	с.	Атяшкино	Чеботаевского-с/с	Сурского р-на., Ульяновская обл.	2002	NA	54°16′00″, 46°51′00″	x		
20.	д.	Ачадовка	Новопотьминского-с/с	Зубово-Полянского р-на., Мордовия.	2002	NA	54°25′00″, 42°51′00″	M		
21.	с.	Ачадово	Ачадовского-с/с	ЗубовоПолянского р-на., Мордовия.	2002	NA	53°54′32″, 43°00′11″	M		
2.	д.	Багряж-Никольское	Багряж-Никольского-с/с	Альметьевского р-на., Татарстан.	2002	NA	54°56′14″, 51°32′06″	E		
7.	с.	Баевка	Баевского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°01′00″, 47°09′00″	x		
5.	п.	Баевка	Засурско-Безднинского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°50′02″, 46°46′02″	x		
22.	с.	Баево	Баевского-с/с	Ардатовского р-на., Мордовия.	2002	NA	54°50′06″, 46°22′08″	E		
23.	д.	Баево	Нароватовского-с/с	Теньгушевского р-на., Мордовия.	2002	NA	54°50′00″, 46°22′00″	E		
8.	п.	Баевский	Баевского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°01′00″, 47°09′00″	x		
9.	NA	Базарно-Мордовский Юрткуль	Русско-Юрткульского-с/с	Старомайнского р-на., Ульяновская обл.	2002	NA	54°46′00″, 49°11′00″	M		
4.	с.	Бакшандино	Каменского-с/с	Пильнинского р-на., Нижегородская обл.	2002	NA	55°30′43″, 46°06′54″	E		
