id,entity,name_myv,name_mdf,name_deu,district_deu,region_deu,dialect,name_rus,district_rus,region_rus,coordinate
Mdf:StPichur,село,x,Сире Пяцёра,x,x,x,mdf:X,x,Торбеевский район,x,"54.003000, 43.471000"
Myv:StSed,село,x,x,Staroje Sedelkino,x,x,myv:Mixed,Сиделькино,x,x,"54.537698, 51.113744"
Myv:StSosni,село,Ташто Сосна,x,Staryje Sosni,Buguruslan,Samara,myv:X,x,x,x,"54.145278, 52.027222"
Myv:StZach,село,x,x,Staroje Sacharkino,Petrowsk,x,myv:X,x,x,x,"52.892833, 45.242666"
Myv:Standr,село,x,x,Standrowo,x,x,myv:Mixed,Стандрово,x,x,"54.642155, 42.659735"
Myv:Stavr,район,x,x,x,Stawropol,x,myv:X,x,x,x,"53.673333, 49.565833"
Myv:Sterl,район,x,x,x,Sterlitamak,x,myv:X,x,x,x,"53.633333, 55.95"
Myv:StŠant,село,Ташто Шентала,x,Staraja Schantala,x,x,myv:Mixed,Старая Шентала,x,x,"54.392433, 51.488315"
Myv:StŠkud,село,škud́im,x,Staraja Schkudym,x,x,myv:Mixed,Шкудим,x,x,"53.373729, 46.443035"
Myv:SuhKarb,село,Арчилово,x,Suhoi Karbulak,Saratow,x,myv:X,x,x,x,"52.006667, 46.852167"
Myv:Sulli,село,x,x,Sulli,Belebej,Ufa,myv:X,x,x,x,"54.183333, 53.566667"
Myv:Surk,село,x,x,Surkino,Bugulma,Samara,myv:X,x,Шенталинский район,Куйбышевский область,"54.292666, 51.559500"
Mdf:Sučk,?село,x,koldajə̑s,Sutschkino,x,x,mdf:Mixed,Колдаис,x,x,"53.076500, 45.546157"
Myv:SŠant,село,stepnoj šantala,x,Stepnaja Schantala,x,x,myv:Mixed,Степная Шентала,x,x,"54.311692, 50.328572"
Myv:Ta,село,x,x,Tajaba,Tetjuschi,Kasan,myv:X,Большая Таяба:Малая Таяба:Таяба,x,x,"55.242417, 47.918733:55.217876, 47.962230:?54.571214, 51.318533"
Mdf:Tamb,губерня,x,x,x,x,x,mdf:W/C/M,x,Беднодемьяновский район Пензенской области:Атюрьевский:Зубово-Полянский: Темниковский + Торбеевский районы Мордовской АССР,x,x,"52.720833, 41.452222"
Myv:Tamb,губерня,x,x,x,x,x,myv:Mixed,Теньгушевский и (частично) Торбеевский районы Мордовской АССР,x,x,"52.720833, 41.452222"
Myv:Tel,село,Вазвеле,x,Teljatnikowo,Chwalynsk,Saratowo,myv:X,Телятниково,x,x,"53.009167, 47.257833"
Myv:Temjaš,село,x,x,x,x,x,myv:mfd|C,Темяшево,x,x,"54.525938, 44.615925"
Mdf:Temn,район,x,x,x,x,x,mdf:C,x,x,x,"54.633333, 43.216667"
Myv:Temn,район,x,x,x,x,x,myv:Mixed,x,x,x,"54.633333, 43.216667"
Mdf:Ter,село,x,Сире Терезморга,x,x,x,mdf:C,Старая Теризморга,x,x,"54.258617, 44.534025"
Mdf:Tet,район,x,x,x,x,x,mdf:X,x,Тетюшский район,Татарская АССР,"54.938611, 48.828333"
Myv:Turch,село,x,x,Turchanka,östl. Buguruslan,Samara,myv:X,Турхановка:Григорьевка,x,x,"53.761657, 52.462026:53.719420, 53.054959"
Myv:Ufa,губерня,x,x,x,x,x,myv:X,(частично) Башкирская АССР и Оренбургская область,x,x,"54.733333, 55.966667"
Mdf:Ur,село,x,x,Urjum,Tetjuschi,Kasan,mdf:Mixed,Урюм,Тетюшский район,Татарская АССР,"54.772593, 48.758191"
Myv:Usa,?село,x,x,Usa,Saratow,Saratow,myv:Mixed,Усть-Уза,Усть-Узинский район,Пензенская область,"52.968581, 45.307753"
Myv:VVr,село,ińeĺej,x,Weliki Wrag,Arsamas,Nishni-Nowgorod,myv:NW,Великий Враг,Шатковский район,Горьковская область,"55.255883, 44.520649"
Myv:Vač,село,x,x,x,x,x,myv:Mixed,Вачелай,x,x,"53.375916, 46.186350"
Mdf:Vel,село,x,Вада велезем веле,x,x,x,mdf:W,Вадовские Селищи,x,x,"54.276889, 42.640017"
Mdf:Vert,село,x,x,x,x,x,mdf:C,Вертелим,x,x,"54.476615, 44.524683"
Myv:Vez,деревня,x,x,Wjasowka,Bugulma,Samara,myv:X,Вязовка,Шенталинский район,Куйбышевский область,"54.323999, 51.652667"
Myv:Večk,село,Вечкань веле,x,Wetschkanowo,Buguruslan,Samara,myv:X,Старое Вечканово,x,x,"54.079646, 51.731695"
Myv:Večkus,село,x,x,x,x,x,myv:NW,Вечкусово,x,x,"55.261700, 44.452952"
Mdf:Vod,село,x,x,x,x,x,mdf:Mixed,Водолей,x,x,"53.278939, 45.997740"
Myv:VrKatm,деревня,x,x,x,x,x,myv:Mixed,Верхний Катмис,Pensa,x,"53.396410, 46.078364"
Mdf:Zajcevo,село,x,Зайця,x,x,x,mdf:X,Зайцево,Краснослободский район,Мордовская АССР,"54.271333, 43.671000"
Mdf:Šad,село,x,x,Schadym,x,x,mdf:SE,Шадым,x,x,"53.900719, 44.044398"
Mdf:Šajg,село,x,śiŕə šäjgav,Schaigowo,x,x,mdf:C,Старое Шайгово,x,x,"54.304085, 44.468358"
Myv:Čamz,рабочий посёлок,Чаунза,x,Tschamsinka,Ardatow,Simbirsk,myv:C,Чамзинка,Чамзинский район,Мордовская АССР,"54.404336, 45.782055"
Mdf:Čer,село,x,x,Festung Tscheremschan,Tscheremschan,x,mdf:X,x,x,x,"54.654699, 51.505616"
Myv:Čer,село,x,x,Festung Tscheremschan,x,x,myv:C,Черемшан,Черемшанский район,Татарская АССР,"54.654699, 51.505616"
Myv:Šest,село,Шестайвеле,x,Schestaikino,Buguruslan,Samara,myv:X,x,x,x,"53.769833, 52.576833"
Myv:Šir,село,širomaz,x,Schiromassowo,x,x,myv:Mixed,Широмасово,x,x,"54.708347, 42.533082"
Myv:Škud,село,x,x,Schkudim,x,x,myv:Mixed,Шкудим,x,x,"53.373729, 46.443035"
Myv:Šokša,село,šokš,x,Schokscha,x,x,myv:Mixed,Шокша,x,x,"54.769991, 42.520874"
Myv:Šug,село,Чугорвеле,x,Schugurowo,Gorodischtsche,Pensa,myv:X,Шугурово,x,x,"53.410985, 46.474260"
Myv:Ščuk,село,x,x,Schtschukino,x,x,myv:Mixed,Щукино,x,x,"53.446738, 46.381617"
