id,entity,name_myv,name_mdf,name_deu,district_deu,region_deu,dialect,name_rus,district_rus,region_rus,coordinate
Myv:MalyjTolkaj,село,Вишка Толкан веле,x,x,x,x,myv:X,Малый Толкай,Подхвистневский район,Самарская область,"53.65, 52.133333"
Myv:Bug,район,x,x,x,Bugulma u. Buguruslan,x,myv:X,Бугульминский район Татарской АССР:Бугурусланский район Оренбургская область,x,x,"54.533333, 52.866667"
Myv:Bugulma,район,x,x,x,Bugulma,Samara,myv:X,x,Шенталинский район,Куйбышевская область,"54.434722, 51.468056"
Myv:Bugur,район,x,x,x,Buguruslan,Samara,myv:X,x,Бугурусланский район,Оренбургская область,"53.616667, 52.416667"
Myv:Buinsk,район,x,x,x,Bui,x,myv:X,x,Буинский район,Татарской АССР,"55, 48.25"
Myv:Buz,район,x,x,x,Busuluk,x,myv:X,x,Бузулукский район,Оренбургская область,"52.783333, 52.25"
Mdf:Cjatn,деревня,x,Цятна веле,Zjatnowka,Krasnoslobodsk,Pensa,mdf:C,Сейтяновка,Ковылкинский район,Мордовская АССР,"54.192443, 43.683276"
Mdf:Čemb,район,x,x,x,Tschembar,x,mdf:Trans,x,Белинский район,x,"52.966667, 43.416667"
Myv:Dav,село,x,x,Dawidowo,Korsun,x,myv:X,Давыдовка,Николаевский район,Ульяновский область,"53.065355, 47.161184"
Myv:Djurki,село,d́uŕḱina,x,Djurki,Alatyr,Simbirsk,myv:C,Дюрки,Атяшевский район,Мордовская АССР,"54.649479, 46.368178"
Myv:Drak,село,Дракина,x,Drakino,Spassk,Tambow,myv:Mixed,Дракино,Торбеевский район,Мордовская АССР,"54.046830, 43.260178"
Myv:Dubr,село,x,x,Dubrowka,Petrowsk,Saratow,myv:Mixed,Дубровки,Камешкирский район,Пензенская область,"52.940267, 45.846706"
Myv:Dudn,село,dud́ńikova,x,Dudnikowo,Temnikow,Tambow,myv:Mixed,Дудниково,Теньгушевский район,Мордовская АССР,"54.801130, 42.699243"
Myv:God,село,x,x,Godjaikino,Gorodischtsche,x,myv:X,Годяйкино,Инзенский район,Ульяновский область,"53.509560, 46.580801"
Myv:Gol,?населённый пункт,x,x,Golodjawka,Chwalynsk,Saratow,myv:X,x(рядом эрз. с. Барановка),Николаевский район,Уляновская область,"53.020278, 47.161667"
Mdf:Gor,район,x,x,x,Gorodischtsche,x,mdf:Mixed,x,Городищенский и Сосновоборский р-ны,Пензенский область,"53.266667, 45.700000"
Myv:Gor,район,x,x,x,Gorodischtsche,x,myv:Mixed,x,Городищенский и Сосновоборский р-ны,Пензенский область,"53.266667, 45.700000"
Myv:Gr,село,x,x,Gratschowka,Samara,x,myv:X,Грачёвка,"Кошкинский район",Куйбышевский область,"54.338333, 50.437778"
Mdf:Gumny,село,x,šongarńä,Gumny,Narowtschat,Pensa,mdf:C,Гумны,Ковылкинский район,Мордовская АССР,"54.021061, 43.734623"
Myv:Hl,село,x,x,Chlystowka,Ardatow,Simbirsk,myv:X,Отрадное(до 26. IV. 1940, Хлыстовка),Чамзинский район,Мордовская АССР,"54.434554, 45.671750"
Myv:Hol,село,x,x,Cholstowka,Chwalynsk,x,myv:X,Холстовка,Павловский район,Уляновская область,"52.848754, 47.222521"
Myv:Idm,село,v́id́ma-v́eĺe,x,Idmanowo,Nishni-Nowgorod,x,myv:NW,Итманово,Гагинский район,Горьковская область,"55.145545, 44.744321"
Mdf:Ins,район,x,x,x,Insar,x,mdf:X,x,x,x,"53.866667, 44.366667"
Myv:Is,село,x,x,Issalky,Buguruslan,Samara,myv:X,Исаклы,x,x,"54.130768, 51.536770"
Myv:Ivanc,село,ivań-b́ijo,x,Iwanzewo,Lukojanow,Nishni-Nowgorod,myv:NW,Иванцево,x,x,"54.995085, 44.384303"
Myv:Jeg,?деревня,x,x,Jegerowka,Samara,x,myv:X,Новоегорьевка,x,x,"53.492287, 53.838460"
Mdf:Jožka,село,x,jožka,Joshka (Jeshowka),Krasnoslobodsk,Pensa,mdf:C,Ежовка,x,x,"54.084907, 43.712426"
